ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
200740_s_at	8023.08	P	0.000244141
200741_s_at	90915.34	P	0.000244141
200742_s_at	2989.207	P	0.000244141
200743_s_at	3476.056	P	0.000244141
200744_s_at	1520.799	P	0.000244141
200745_s_at	2516.787	P	0.00195313
200746_s_at	4029.823	P	0.00195313
200747_s_at	1154.304	P	0.00195313
200748_s_at	7867.023	P	0.000244141
200749_at	4412.595	P	0.0012207
200750_s_at	10052.82	P	0.000244141
200751_s_at	3793.729	P	0.000244141
200752_s_at	422.3308	P	0.0375977
200753_x_at	5194.932	P	0.000732422
200754_x_at	11618.41	P	0.000244141
200755_s_at	1672.525	P	0.000244141
200756_x_at	852.8509	A	0.0952148
200757_s_at	3049.918	P	0.000244141
200758_s_at	1500.728	P	0.00195313
200759_x_at	2548.196	P	0.000732422
200760_s_at	3528.744	P	0.000244141
200761_s_at	13297.1	P	0.000244141
200762_at	59.66958	A	0.246094
200763_s_at	74900.19	P	0.000244141
200764_s_at	1379.488	P	0.000732422
200765_x_at	2125.234	P	0.000244141
200766_at	286.3525	P	0.0185547
200767_s_at	1394.995	P	0.000244141
200768_s_at	5113.983	P	0.000244141
200769_s_at	195.7745	A	0.171387
200770_s_at	2968.572	P	0.000244141
200771_at	2135.054	P	0.00292969
200772_x_at	15920.68	P	0.000244141
200773_x_at	23095.4	P	0.000244141
200774_at	24642.29	P	0.000244141
200775_s_at	13820.68	P	0.000244141
200776_s_at	2266.176	P	0.0012207
200777_s_at	5771.686	P	0.000244141
200778_s_at	4253.318	P	0.000244141
200779_at	25471.78	P	0.000244141
200780_x_at	34948.47	P	0.000244141
200781_s_at	60385.66	P	0.000244141
200782_at	6123.576	P	0.000244141
200783_s_at	540.0717	P	0.0012207
200784_s_at	51.02998	A	0.904785
200785_s_at	59.9579	A	0.432373
200786_at	11613.79	P	0.000244141
200787_s_at	828.976	P	0.000244141
200788_s_at	2577.431	P	0.000732422
200789_at	3548.548	P	0.00585938
200790_at	16679.56	P	0.000244141
200791_s_at	4566.437	P	0.000244141
200792_at	6053.854	P	0.000732422
200793_s_at	1798.525	P	0.00585938
200794_x_at	12284.34	P	0.000244141
200795_at	34.75788	A	0.432373
200796_s_at	681.1926	P	0.00585938
200797_s_at	30080.05	P	0.000244141
200798_x_at	19986.52	P	0.000244141
200799_at	1678.642	P	0.001220703
200800_s_at	552.0496	P	0.00292969
200801_x_at	49759.5	P	0.000244141
200802_at	4102.166	P	0.000244141
200803_s_at	24760.31	P	0.0012207
200804_at	7287.492	P	0.000244141
200805_at	4443.132	P	0.000244141
200806_s_at	6829.722	P	0.000244141
200807_s_at	23453.93	P	0.000244141
200808_s_at	211.0968	P	0.0239258
200809_x_at	62892.64	P	0.000244141
200810_s_at	25255.66	P	0.000244141
200811_at	9924.769	P	0.0012207
200812_at	3876.888	P	0.000244141
200813_s_at	595.8818	A	0.111572
200814_at	14333.9	P	0.000244141
200815_s_at	1087.995	P	0.000244141
200816_s_at	1070.883	P	0.000732422
200817_x_at	80740.97	P	0.000244141
200818_at	21155.91	P	0.000244141
200819_s_at	61634.14	P	0.000244141
200820_at	3738.326	P	0.0302734
200821_at	3024.321	P	0.000732422
200822_x_at	3089.895	P	0.000244141
200823_x_at	34943.64	P	0.000244141
200824_at	5294.938	P	0.000244141
200825_s_at	7262.432	P	0.000244141
200826_at	17288.88	P	0.000244141
200827_at	312.3767	P	0.0141602
200828_s_at	6077.848	P	0.000244141
200829_x_at	7963.037	P	0.000244141
200830_at	4387.01	P	0.000244141
200831_s_at	246.9254	A	0.696289
200832_s_at	153.8828	P	0.0302734
200833_s_at	14043.14	P	0.000244141
200834_s_at	65900.32	P	0.000244141
200835_s_at	221.8443	A	0.067627
200836_s_at	114.7609	A	0.567627
200837_at	4545.544	P	0.000244141
200838_at	906.996	P	0.00195313
200839_s_at	2278.654	P	0.000244141
200840_at	17617.15	P	0.000244141
200841_s_at	904.7352	P	0.00195313
200842_s_at	3139.753	P	0.000244141
200843_s_at	5748.95	P	0.000244141
200844_s_at	5050.389	P	0.000244141
200845_s_at	4795.79	P	0.0239258
200846_s_at	1945.686	P	0.000244141
200847_s_at	16776.78	P	0.000244141
200848_at	650.0552	P	0.000244141
200849_s_at	1460.47	P	0.000732422
200850_s_at	2728.222	P	0.000244141
200851_s_at	5136.968	P	0.00195313
200852_x_at	818.9095	P	0.00805664
200853_at	5721.014	P	0.000732422
200854_at	1112.595	P	0.000244141
200855_at	324.6489	P	0.0302734
200856_x_at	446.4373	P	0.0012207
200857_s_at	485.2343	P	0.0107422
200858_s_at	30509.91	P	0.000244141
200859_x_at	1174.013	P	0.0239258
200860_s_at	2010.827	P	0.000244141
200861_at	743.2631	P	0.00805664
200862_at	273.0842	P	0.0185547
200863_s_at	4012.309	P	0.000244141
200864_s_at	1364.34	P	0.000732422
200865_at	2.604861	A	0.904785
200866_s_at	10922.49	P	0.000244141
200867_at	1597.813	P	0.00585938
200868_s_at	1555.763	P	0.00292969
200869_at	81685.38	P	0.000244141
200870_at	6506.414	P	0.000244141
200871_s_at	30383.74	P	0.000244141
200872_at	1108.876	P	0.00585938
200873_s_at	16029.56	P	0.000244141
200874_s_at	370.4121	P	0.000732422
200875_s_at	3307.94	P	0.000244141
200876_s_at	13991.06	P	0.000244141
200877_at	9253.616	P	0.000244141
200878_at	343.9066	P	0.00415039
200879_s_at	100.2082	P	0.0375977
200880_at	7118.041	P	0.0012207
200881_s_at	14851.98	P	0.000244141
200882_s_at	5830.934	P	0.000244141
200883_at	3590.425	P	0.000244141
200884_at	279.3443	A	0.219482
200885_at	1687.037	P	0.00805664
200886_s_at	10532.02	P	0.000244141
200887_s_at	46127.88	P	0.000244141
200888_s_at	49376.33	P	0.000244141
200889_s_at	2897.135	P	0.000244141
200890_s_at	2753.247	P	0.000244141
200891_s_at	19080.95	P	0.000244141
200892_s_at	4914.111	P	0.000244141
200893_at	18008.9	P	0.000244141
200894_s_at	493.9661	P	0.0012207
200895_s_at	1088.677	P	0.0141602
200896_x_at	1949.052	P	0.0141602
200897_s_at	124.8017	P	0.0239258
200898_s_at	1006.122	P	0.0239258
200899_s_at	3587.988	P	0.000244141
200900_s_at	1536.35	P	0.000244141
200901_s_at	1876.166	P	0.000732422
200902_at	10311.58	P	0.000244141
200903_s_at	1567.902	P	0.000244141
200904_at	12616.28	P	0.000244141
200905_x_at	63344.25	P	0.000244141
200906_s_at	35.95799	A	0.780518
200907_s_at	54.49539	A	0.533936
200908_s_at	802.707	P	0.0461426
200909_s_at	41184.62	P	0.000244141
200910_at	5526.017	P	0.000244141
200911_s_at	3050.051	P	0.0185547
200912_s_at	66563.34	P	0.000244141
200913_at	708.0444	P	0.0302734
200914_x_at	2098.399	P	0.000244141
200915_x_at	8741.086	P	0.000244141
200916_at	779.0909	P	0.0185547
200917_s_at	3826.235	P	0.000732422
200918_s_at	23503.02	P	0.000244141
200919_at	977.1656	P	0.0107422
200920_s_at	8089.452	P	0.000244141
200921_s_at	18217.69	P	0.000244141
200922_at	954.6818	P	0.00195313
200923_at	1713.073	P	0.00805664
200924_s_at	1032.033	P	0.00415039
200925_at	15796.66	P	0.000732422
200926_at	88126.22	P	0.000244141
200927_s_at	1793.604	P	0.000244141
200928_s_at	158.6165	P	0.0107422
200929_at	10483.94	P	0.000244141
200930_s_at	5.441106	A	0.888428
200931_s_at	451.3024	P	0.000732422
200932_s_at	1841.832	P	0.000732422
200933_x_at	78393.23	P	0.000244141
200934_at	356.3075	M	0.0561523
200935_at	554.9052	P	0.00805664
200936_at	57067.55	P	0.000244141
200937_s_at	44973.2	P	0.000244141
200938_s_at	120.1542	A	0.219482
200939_s_at	125.9083	A	0.366211
200940_s_at	1069.361	P	0.00292969
200941_at	1137.318	P	0.000732422
200942_s_at	2631.834	P	0.00195313
200943_at	16664.4	P	0.000244141
200944_s_at	19773.51	P	0.000244141
200945_s_at	7892.281	P	0.000244141
200946_x_at	678.226	P	0.0239258
200947_s_at	1253.245	P	0.00805664
200948_at	2257.783	P	0.000244141
200949_x_at	47454.06	P	0.000244141
200950_at	3754.578	P	0.0012207
200951_s_at	41.46558	A	0.633789
200952_s_at	7.663893	A	0.932373
200953_s_at	30.05174	A	0.466064
200954_at	1742.968	A	0.19458
200955_at	1511.746	P	0.000244141
200956_s_at	855.1019	P	0.00585938
200957_s_at	1424.969	P	0.000732422
200958_s_at	2511.072	P	0.000244141
200959_at	1300.936	P	0.000244141
200960_x_at	8932.302	P	0.00292969
200961_at	2269.93	P	0.00195313
200962_at	1483.548	P	0.000732422
200963_x_at	66025.86	P	0.000244141
200964_at	3446.49	P	0.000244141
200965_s_at	101.8776	A	0.27417
200966_x_at	9825.442	P	0.000244141
200967_at	30758.46	P	0.000244141
200968_s_at	20428.87	P	0.000244141
200969_at	11244.22	P	0.000244141
200970_s_at	15781.37	P	0.000244141
200971_s_at	33382.85	P	0.000244141
200972_at	11695.25	P	0.000244141
200973_s_at	3661.476	P	0.000244141
200974_at	282.0164	P	0.0239258
200975_at	10090.77	P	0.000244141
200976_s_at	6638.113	P	0.000244141
200977_s_at	5662.014	P	0.000244141
200978_at	8145.359	P	0.000244141
200979_at	687.4051	P	0.000732422
200980_s_at	1873.348	P	0.000244141
200981_x_at	38152.16	P	0.000244141
200982_s_at	5549.464	P	0.000244141
200983_x_at	23017.68	P	0.000244141
200984_s_at	9800.377	P	0.000244141
200985_s_at	10206.48	P	0.000244141
200986_at	202.7319	P	0.00292969
200987_x_at	1074.135	P	0.0375977
200988_s_at	299.5163	P	0.000244141
200989_at	3925.656	P	0.000244141
200990_at	3022.158	P	0.000732422
200991_s_at	1492.937	P	0.0141602
200992_at	4890.83	P	0.000244141
200993_at	6165.122	P	0.000244141
200994_at	4365.395	P	0.000244141
200995_at	3437.307	P	0.000732422
200996_at	8664.384	P	0.000244141
200997_at	2928.513	P	0.000244141
200998_s_at	8640.933	P	0.000244141
200999_s_at	24782.25	P	0.000244141
201000_at	4614.548	P	0.00585938
201001_s_at	2906.31	P	0.000244141
201002_s_at	3914.61	P	0.000244141
201003_x_at	854.0629	P	0.0012207
201004_at	77132.46	P	0.000244141
201005_at	74.03716	A	0.129639
201006_at	117.2372	A	0.0952148
201007_at	4610.228	P	0.000732422
201008_s_at	35101.91	P	0.000244141
201009_s_at	29411.64	P	0.000244141
201010_s_at	40566.17	P	0.000244141
201011_at	9426.388	P	0.000244141
201012_at	1049.228	P	0.000244141
201013_s_at	5029.447	P	0.000244141
201014_s_at	1864.605	P	0.000244141
201015_s_at	96.57908	A	0.303711
201016_at	2508.86	P	0.000244141
201017_at	1412.622	P	0.000244141
201018_at	1784.972	P	0.000732422
201019_s_at	7926.988	P	0.000244141
201020_at	773.2148	P	0.00292969
201021_s_at	5511.822	P	0.000244141
201022_s_at	9226.424	P	0.000244141
201023_at	13542.7	P	0.000244141
201024_x_at	4527.225	P	0.000244141
201025_at	910.4952	P	0.000244141
201026_at	1106.575	P	0.0012207
201027_s_at	1439.623	P	0.000732422
201028_s_at	72.9789	A	0.567627
201029_s_at	317.0912	P	0.00292969
201030_x_at	22493.42	P	0.000244141
201031_s_at	18758.19	P	0.000244141
201032_at	1067.425	P	0.00415039
201033_x_at	51350.37	P	0.000244141
201034_at	2891.864	P	0.000244141
201035_s_at	437.7488	A	0.27417
201036_s_at	907.8958	P	0.000732422
201037_at	129.0939	A	0.171387
201038_s_at	2065.972	P	0.000244141
201039_s_at	1325.193	P	0.000244141
201040_at	1378.063	P	0.0141602
201041_s_at	57887.5	P	0.000244141
201042_at	14.57958	A	0.943848
201043_s_at	591.8713	P	0.00805664
201044_x_at	2322.374	P	0.000244141
201045_s_at	98.23403	A	0.398926
201046_s_at	4264.568	P	0.0375977
201047_x_at	6925.906	P	0.000244141
201048_x_at	206.2162	A	0.0952148
201049_s_at	71929.4	P	0.000244141
201050_at	1600.925	P	0.0012207
201051_at	4848.4	P	0.000244141
201052_s_at	1425.707	P	0.000732422
201053_s_at	2266.627	P	0.0012207
201054_at	3390.542	P	0.000244141
201055_s_at	1202.125	P	0.000732422
201056_at	1627.203	P	0.000732422
201057_s_at	3887.988	P	0.000244141
201058_s_at	29.89993	A	0.753906
201059_at	346.0606	P	0.0141602
201060_x_at	7808.25	P	0.000244141
201061_s_at	7091.421	P	0.000244141
201062_at	10.59204	A	0.466064
201063_at	2046.534	P	0.0012207
201064_s_at	14521.66	P	0.000244141
201065_s_at	2917.979	P	0.0239258
201066_at	2351.984	P	0.0185547
201067_at	1992.681	P	0.00195313
201068_s_at	8822.42	P	0.000244141
201069_at	63.37106	A	0.219482
201070_x_at	2566.76	P	0.00195313
201071_x_at	13182.36	P	0.000732422
201072_s_at	308.6016	P	0.0461426
201073_s_at	273.4807	P	0.0185547
201074_at	1166.045	P	0.0012207
201075_s_at	422.2944	P	0.000244141
201076_at	1192.05	P	0.00292969
201077_s_at	7636.472	P	0.000244141
201078_at	13268.85	P	0.000732422
201079_at	4595.823	P	0.000244141
201080_at	663.6961	P	0.00585938
201081_s_at	164.3965	P	0.0461426
201082_s_at	334.7001	P	0.000244141
201083_s_at	937.3234	P	0.00195313
201084_s_at	10913.96	P	0.000244141
201085_s_at	4198.58	P	0.000244141
201086_x_at	11523.68	P	0.000244141
201087_at	285.4876	A	0.19458
201088_at	3682.226	P	0.000244141
201089_at	799.2065	P	0.000244141
201090_x_at	7470.729	P	0.0185547
201091_s_at	2848.346	P	0.000244141
201092_at	5140.515	P	0.000244141
201093_x_at	3436.741	P	0.000732422
201094_at	67686.15	P	0.000244141
201095_at	5531.872	P	0.01733398
201096_s_at	8557.498	P	0.000732422
201097_s_at	13011.11	P	0.000244141
